@relation CornellMovies_v2

@attribute positive_adjectives_count numeric
@attribute negative_adjectives_count numeric
@attribute positive_to_negative_ratio_of_adjectives_count numeric
@attribute positive_to_negative_ratio_of_adverbs_count numeric
@attribute positive_adverbs_count_and_bigrams_with_adverbs numeric
@attribute negative_adverbs_count_and_bigrams_with_adverbs numeric
@attribute positive_adjectives_count_and_bigrams_with_adjectives numeric
@attribute negative_adjectives_count_and_bigrams_with_adjectives numeric
@attribute positive_to_negative_ratio_of_adjectives_count_and_bigrams_with_adjectives numeric
@attribute positive_to_negative_ratio_of_adverbs_count_and_bigrams_with_adverbs numeric
@attribute selected_ngrams_count numeric
@attribute original_document_size numeric
@attribute positive_unigrams_and_bigrams_count numeric
@attribute negative_unigrams_and_bigrams_count numeric
@attribute percentage_of_negated_ngrams_by_document_size numeric
@attribute positive_to_negative_ratio_of_unigrams_and_bigrams_count numeric
@attribute positive_unigrams_bigrams_and_trigrams_count numeric
@attribute negative_unigrams_bigrams_and_trigrams_count numeric
@attribute positive_to_negative_ratio_of_unigrams_bigrams_and_trigrams_count numeric
@attribute positive_adjectives_sum numeric
@attribute negative_adjectives_sum numeric
@attribute positive_to_negative_ratio_of_adjectives_sum numeric
@attribute positive_to_negative_ratio_of_adverbs_sum numeric
@attribute sum_ratio_of_positive_adjectives numeric
@attribute sum_ratio_of_positive_adverbs numeric
@attribute sum_ratio_of_negative_adjectives numeric
@attribute sum_ratio_of_negative_adverbs numeric
@attribute positive_adverbs_sum_and_bigrams_with_adverbs numeric
@attribute negative_adverbs_sum_and_bigrams_with_adverbs numeric
@attribute positive_adjectives_sum_and_bigrams_with_adjectives numeric
@attribute negative_adjectives_sum_and_bigrams_with_adjectives numeric
@attribute positive_to_negative_ratio_of_adjectives_sum_and_bigrams_with_adjectives numeric
@attribute positive_to_negative_ratio_of_adverbs_sum_and_bigrams_with_adverbs numeric
@attribute sum_ratio_of_positive_adjectives_and_bigrams_with_adjectives numeric
@attribute sum_ratio_of_negative_adjectives_and_bigrams_with_adjectives numeric
@attribute sum_ratio_of_positive_adverbs_and_bigrams_with_adverbs numeric
@attribute sum_ratio_of_negative_adverbs_and_bigrams_with_adverbs numeric
@attribute positive_unigrams_and_bigrams_sum numeric
@attribute negative_unigrams_and_bigrams_sum numeric
@attribute sum_ratio_of_positive_unigrams_and_bigrams numeric
@attribute sum_ratio_of_negative_unigrams_and_bigrams numeric
@attribute positive_to_negative_ratio_of_unigrams_and_bigrams_sum numeric
@attribute positive_unigrams_bigrams_and_trigrams_sum numeric
@attribute negative_unigrams_bigrams_and_trigrams_sum numeric
@attribute sum_ratio_of_positive_unigrams_bigrams_and_trigrams numeric
@attribute sum_ratio_of_negative_unigrams_bigrams_and_trigrams numeric
@attribute positive_to_negative_ratio_of_unigrams_bigrams_and_trigrams_sum numeric
@attribute max_rule_for_adjective numeric
@attribute max_rule_for_adverbs_and_bigrams_with_adverbs numeric
@attribute max_rule_for_adjective_and_bigrams_with_adjectives numeric
@attribute max_rule_for_unigrams_and_bigrams numeric
@attribute max_rule_for_unigrams_bigrams_and_trigrams numeric
@attribute polarity {positive,negative}

@data
16,13,3,-1,1,2,18,20,-2,-1,41,510,19,22,0.009804,-3,19,22,-3,5.99325,-4.3164,1.67685,0.02816,0.011751,0.000162,-0.008464,-0.000107,0.08252,-0.05436,6.0359,-6.979145,-0.943245,0.02816,0.011835,-0.013685,0.000162,-0.000107,6.11842,-7.033505,0.011997,-0.013791,-0.915085,6.11842,-7.033505,0.011997,-0.013791,13.151925,1,1,1,1,1,positive
53,18,35,1,4,3,59,21,38,1,87,885,63,24,0.00565,39,63,24,39,15.296368,-4.554445,10.741923,0.077798,0.017284,0.000149,-0.005146,-0.000061,0.148662,-0.138235,16.861577,-5.556287,11.30529,0.010427,0.019053,-0.006278,0.000168,-0.000156,17.010239,-5.694522,0.019221,-0.006434,11.315717,17.010239,-5.694522,0.019221,-0.006434,22.70476,1,1,1,1,1,positive
39,16,23,3,4,1,44,23,21,3,72,775,48,24,0.009032,24,48,24,24,10.074095,-7.25571,2.818385,0.52393,0.012999,0.000792,-0.009362,-0.000116,0.61405,-0.09012,13.052608,-9.769391,3.283216,0.52393,0.016842,-0.012606,0.000792,-0.000116,13.666658,-9.859511,0.017634,-0.012722,3.807146,13.666658,-9.859511,0.017634,-0.012722,23.526169,0,1,0,0,0,positive
42,13,29,1,2,1,48,18,30,1,70,739,50,19,0,31,51,19,32,7.640273,-6.940515,0.699758,-0.154345,0.010339,0.000353,-0.009392,-0.000562,0.26078,-0.415125,9.209739,-9.17766,0.032079,-0.154345,0.012462,-0.012419,0.000353,-0.000562,9.470519,-9.592785,0.012815,-0.012981,-0.122266,9.717808,-9.592785,0.01315,-0.012981,19.310593,0,0,0,0,0,positive
39,12,27,3,7,4,43,15,28,3,69,1022,50,19,0.001957,31,50,19,31,10.490065,-4.596645,5.89342,-0.310733,0.010264,0.000585,-0.004498,-0.000889,1.071013,-1.311228,12.180385,-5.59437,6.586015,-0.240215,0.011918,-0.005474,0.001048,-0.001283,13.251398,-6.905598,0.012966,-0.006757,6.3458,13.251398,-6.905598,0.012966,-0.006757,20.156995,0,0,1,1,1,positive
55,28,27,4,9,6,60,34,26,3,109,1069,69,40,0.008419,29,69,40,29,8.546918,-12.17529,-3.628372,0.786287,0.007995,0.000854,-0.011389,-0.000118,1.619231,-1.454958,9.549583,-13.949608,-4.400025,0.164273,0.008933,-0.013049,0.001515,-0.001361,11.168814,-15.404566,0.010448,-0.01441,-4.235752,11.168814,-15.404566,0.010448,-0.01441,26.57338,0,1,0,0,0,positive
43,10,33,1,3,1,45,12,33,2,61,887,48,13,0.003382,35,48,13,35,11.13455,-3.049965,8.084585,0.204795,0.012553,0.000292,-0.003439,-0.000061,0.669035,-0.05436,11.70716,-3.95742,7.74974,0.614675,0.013199,-0.004462,0.000754,-0.000061,12.376195,-4.01178,0.013953,-0.004523,8.364415,12.376195,-4.01178,0.013953,-0.004523,16.387975,0,1,0,0,0,positive
40,16,24,4,9,5,42,19,23,4,75,1012,51,24,0.000988,27,51,24,27,8.6752,-5.45652,3.21868,0.548823,0.008572,0.0009,-0.005392,-0.000358,0.91078,-0.361958,9.36277,-6.848388,2.514382,0.548823,0.009252,-0.006767,0.0009,-0.000358,10.27355,-7.210346,0.010152,-0.007125,3.063205,10.27355,-7.210346,0.010152,-0.007125,17.483896,0,0,0,0,0,positive
18,9,9,6,8,1,21,18,3,7,48,732,29,19,0.004098,10,29,19,10,4.21954,-3.882045,0.337495,0.337895,0.005764,0.001029,-0.005303,-0.000567,0.77365,-0.415125,5.097005,-7.593195,-2.49619,0.358525,0.006963,-0.010373,0.001057,-0.000567,5.870655,-8.00832,0.00802,-0.01094,-2.137665,5.870655,-8.00832,0.00802,-0.01094,13.878975,0,0,0,0,0,negative
20,19,1,1,3,2,23,23,0,1,51,555,26,25,0.001802,1,26,25,1,7.40985,-8.231385,-0.821535,-0.261533,0.013351,0.000762,-0.014831,-0.001233,0.422917,-0.68445,9.104786,-9.915225,-0.810439,-0.261533,0.016405,-0.017865,0.000762,-0.001233,9.527703,-10.599675,0.017167,-0.019099,-1.071972,9.527703,-10.599675,0.017167,-0.019099,20.127378,0,0,0,0,0,negative
68,32,36,0,3,3,78,43,35,0,127,1527,81,46,0.003274,35,81,46,35,16.840203,-10.93446,5.905743,-0.12651,0.011028,0.000134,-0.007161,-0.000217,0.2046,-0.33111,19.083983,-14.68696,4.397022,-0.12651,0.012498,-0.009618,0.000134,-0.000217,19.288583,-15.01807,0.012632,-0.009835,4.270512,19.288583,-15.01807,0.012632,-0.009835,34.306653,0,0,0,0,0,positive
17,20,-3,1,1,2,21,27,-6,-1,51,585,22,29,0.010256,-7,22,29,-7,4.362347,-7.228856,-2.86651,0.04126,0.007457,0.000071,-0.012357,0,0.04126,-0.56795,5.665701,-10.172975,-4.507274,-0.52669,0.009685,-0.01739,0.000071,-0.000971,5.706961,-10.740925,0.009755,-0.018361,-5.033964,5.706961,-10.740925,0.009755,-0.018361,16.447886,0,0,0,0,0,negative
45,20,25,1,3,0,51,24,27,3,78,732,54,24,0.009563,30,54,24,30,9.9935,-8.727015,1.266485,0.176635,0.013652,0.000241,-0.011922,0,0.76315,0,11.095131,-9.899575,1.195556,0.76315,0.015157,-0.013524,0.001043,0,11.858281,-9.899575,0.0162,-0.013524,1.958706,11.858281,-9.899575,0.0162,-0.013524,21.757856,0,1,0,0,0,negative
42,15,27,4,11,6,47,25,22,5,89,1194,58,31,0.015913,27,58,31,27,10.925403,-3.447495,7.477908,0.332699,0.00915,0.000492,-0.002887,-0.000214,1.222344,-2.318169,12.472287,-6.297813,6.174474,-1.095825,0.010446,-0.005275,0.001024,-0.001942,13.694631,-8.615982,0.01147,-0.007216,5.078649,13.694631,-8.615982,0.01147,-0.007216,22.310612,0,0,0,0,0,positive
23,15,8,1,3,1,25,18,7,2,47,621,28,19,0.003221,9,28,19,9,5.41341,-6.11031,-0.6969,0.699,0.008717,0.001198,-0.009839,-0.000073,0.91914,-0.04506,6.39655,-7.507316,-1.110766,0.87408,0.0103,-0.012089,0.00148,-0.000073,7.31569,-7.552376,0.01178,-0.012162,-0.236686,7.31569,-7.552376,0.01178,-0.012162,14.868066,0,1,0,0,0,negative
15,22,-7,4,6,1,16,26,-10,5,49,663,22,27,0.004525,-5,22,27,-5,3.02098,-8.184025,-5.163045,1.059028,0.004557,0.002223,-0.012344,-0.000626,1.50166,-0.415125,3.6735,-9.34044,-5.66694,1.086535,0.005541,-0.014088,0.002265,-0.000626,5.17516,-9.755565,0.007806,-0.014714,-4.580405,5.17516,-9.755565,0.007806,-0.014714,14.930725,0,1,0,0,0,negative
41,29,12,3,7,5,49,37,12,2,98,1132,56,42,0.003534,14,56,42,14,12.03293,-5.32005,6.71288,-0.045381,0.01063,0.000711,-0.0047,-0.000752,0.805329,-1.262393,16.271452,-8.052725,8.218728,-0.457063,0.014374,-0.007114,0.000711,-0.001115,17.076782,-9.315118,0.015085,-0.008229,7.761664,17.076782,-9.315118,0.015085,-0.008229,26.391899,0,0,1,1,1,positive
44,7,37,7,8,0,54,10,44,8,72,736,62,10,0.001359,52,62,10,52,8.725828,-2.910945,5.814883,0.517232,0.011856,0.000703,-0.003955,0,0.59539,0,10.5833,-4.695112,5.888188,0.59539,0.014379,-0.006379,0.000809,0,11.17869,-4.695112,0.015188,-0.006379,6.483578,11.17869,-4.695112,0.015188,-0.006379,15.873802,0,1,0,0,0,negative
24,12,12,4,4,0,32,18,14,4,54,542,36,18,0.01107,18,36,18,18,5.997685,-6.38946,-0.391775,0.2046,0.011066,0.000377,-0.011789,0,0.2046,0,8.92912,-8.46101,0.46811,0.2046,0.016474,-0.015611,0.000377,0,9.13372,-8.46101,0.016852,-0.015611,0.67271,9.13372,-8.46101,0.016852,-0.015611,17.59473,0,1,0,0,0,negative
19,13,6,6,8,3,24,22,2,5,57,673,32,25,0.010401,7,32,25,7,4.87636,-2.737435,2.138925,-0.070066,0.007246,0.000832,-0.004068,-0.000936,0.722414,-1.606513,6.313835,-6.189329,0.124507,-0.884099,0.009382,-0.009197,0.001073,-0.002387,7.036249,-7.795841,0.010455,-0.011584,-0.759592,7.036249,-7.795841,0.010455,-0.011584,14.832091,1,0,0,0,0,negative
135,61,74,-4,7,9,160,82,78,-2,258,2435,167,91,0.003285,76,167,91,76,31.923908,-23.403525,8.520383,-0.951098,0.01311,0.000227,-0.009611,-0.000617,0.932813,-1.503135,39.323424,-31.624363,7.699061,-0.570322,0.016149,-0.012987,0.000383,-0.000617,40.256238,-33.127498,0.016532,-0.013605,7.12874,40.256238,-33.127498,0.016532,-0.013605,73.383736,0,0,0,0,0,positive
32,23,9,4,10,5,40,31,9,5,87,1112,50,36,0.006295,14,51,36,15,7.20162,-5.94804,1.25358,0.310595,0.006476,0.000409,-0.005349,-0.00013,0.731848,-1.038088,9.895542,-8.541435,1.354107,-0.30624,0.008899,-0.007681,0.000658,-0.000934,10.62739,-9.579523,0.009557,-0.008615,1.047867,10.704851,-9.579523,0.009627,-0.008615,20.284374,0,0,0,0,0,negative
26,16,10,2,5,3,31,21,10,2,60,713,36,24,0.004208,12,36,24,12,7.51362,-8.023545,-0.509925,0.278465,0.010538,0.00101,-0.011253,-0.00062,0.72026,-0.441795,9.726275,-9.88295,-0.156675,0.278465,0.013641,-0.013861,0.00101,-0.00062,10.446535,-10.324745,0.014652,-0.014481,0.12179,10.446535,-10.324745,0.014652,-0.014481,20.77128,0,1,0,0,0,negative
83,27,56,3,6,2,96,38,58,4,142,1160,102,40,0.008621,62,102,40,62,18.699884,-8.865745,9.834139,0.176665,0.016121,0.000742,-0.007643,-0.00059,0.888622,-0.68445,23.620958,-14.819178,8.80178,0.204172,0.020363,-0.012775,0.000766,-0.00059,24.50958,-15.503628,0.021129,-0.013365,9.005951,24.50958,-15.503628,0.021129,-0.013365,40.013208,0,0,0,0,0,positive
18,10,8,2,4,2,22,12,10,2,40,490,26,14,0,12,26,14,12,4.923595,-2.750775,2.17282,-0.429085,0.010048,0.0005,-0.005614,-0.001376,0.24491,-0.673995,6.970005,-3.410865,3.55914,-0.429085,0.014225,-0.006961,0.0005,-0.001376,7.214915,-4.08486,0.014724,-0.008336,3.130055,7.214915,-4.08486,0.014724,-0.008336,11.299775,1,0,1,1,1,negative
27,13,14,4,5,1,29,13,16,4,48,535,34,14,0,20,34,14,20,9.795715,-4.910655,4.88506,0.88312,0.01831,0.001819,-0.009179,-0.000168,0.97324,-0.09012,10.218295,-4.910655,5.30764,0.88312,0.0191,-0.009179,0.001819,-0.000168,11.191535,-5.000775,0.020919,-0.009347,6.19076,11.191535,-5.000775,0.020919,-0.009347,16.19231,0,1,0,0,0,negative
61,23,38,4,6,1,69,26,43,5,102,1217,75,27,0.000822,48,75,27,48,16.790185,-7.91823,8.871955,-0.024082,0.013796,0.000321,-0.006506,-0.000341,0.472238,-0.415125,20.106012,-9.631105,10.474907,0.057113,0.016521,-0.007914,0.000388,-0.000341,20.57825,-10.04623,0.016909,-0.008255,10.53202,20.57825,-10.04623,0.016909,-0.008255,30.62448,0,0,0,0,0,positive
28,8,20,1,1,1,32,16,16,0,50,495,33,17,0.008081,16,33,17,16,4.406985,-5.45307,-1.046085,0.04126,0.008903,0.000083,-0.011016,0,0.04126,-0.32174,5.699668,-9.363484,-3.663816,-0.28048,0.011514,-0.018916,0.000083,-0.00065,5.740928,-9.685224,0.011598,-0.019566,-3.944296,5.740928,-9.685224,0.011598,-0.019566,15.426151,0,0,0,0,0,negative
25,20,5,0,5,3,33,29,4,2,70,850,38,32,0.001176,6,38,32,6,6.01085,-3.15971,2.85114,0.148613,0.007072,0.000345,-0.003717,-0.00017,0.51287,-0.14448,9.082675,-7.946247,1.136428,0.36839,0.010686,-0.009349,0.000603,-0.00017,9.595545,-8.090727,0.011289,-0.009519,1.504818,9.595545,-8.090727,0.011289,-0.009519,17.686272,1,1,0,0,0,negative
47,22,25,1,5,4,55,29,26,1,93,1276,60,33,0.003135,27,60,33,27,9.933293,-8.066621,1.866672,-0.087575,0.007785,0.000342,-0.006322,-0.00041,0.91767,-0.541485,12.405467,-11.516464,0.889003,0.376185,0.009722,-0.009025,0.000719,-0.000424,13.323137,-12.057949,0.010441,-0.00945,1.265188,13.323137,-12.057949,0.010441,-0.00945,25.381086,0,1,0,0,0,negative
47,14,33,5,8,3,55,23,32,5,89,1045,63,26,0.005742,37,63,26,37,12.60104,-6.149505,6.451535,0.445045,0.012058,0.00074,-0.005885,-0.000314,0.77365,-0.328605,14.408015,-9.705113,4.702903,0.445045,0.013788,-0.009287,0.00074,-0.000314,15.181665,-10.033718,0.014528,-0.009602,5.147948,15.181665,-10.033718,0.014528,-0.009602,25.215383,0,1,0,0,0,positive
24,8,16,1,4,2,33,16,17,2,55,653,37,18,0.013783,19,37,18,19,6.786842,-2.37885,4.407992,0.173955,0.010393,0.000616,-0.003643,-0.00035,0.764075,-0.228495,10.310293,-5.259775,5.050518,0.53558,0.015789,-0.008055,0.00117,-0.00035,11.074368,-5.48827,0.016959,-0.008405,5.586098,11.074368,-5.48827,0.016959,-0.008405,16.562638,1,1,1,1,1,negative
25,8,17,3,5,4,29,13,16,1,51,575,34,17,0.005217,17,34,17,17,6.72795,-4.705755,2.022195,0.6821,0.011701,0.001438,-0.008184,-0.000251,0.82658,-0.92325,9.677645,-6.87172,2.805925,-0.09667,0.016831,-0.011951,0.001438,-0.001606,10.504225,-7.79497,0.018268,-0.013556,2.709255,10.504225,-7.79497,0.018268,-0.013556,18.299195,0,0,1,1,1,negative
50,15,35,2,7,1,65,20,45,6,93,1313,72,21,0.000762,51,72,21,51,10.151038,-4.32729,5.823748,0.430642,0.007731,0.000336,-0.003296,-0.000008,0.835773,-0.009915,14.318477,-7.743885,6.574592,0.825858,0.010905,-0.005898,0.000637,-0.000008,15.15425,-7.7538,0.011542,-0.005905,7.40045,15.15425,-7.7538,0.011542,-0.005905,22.90805,0,1,0,0,0,positive
20,7,13,1,1,0,25,12,13,1,38,500,26,12,0.008,14,26,12,14,5.90993,-1.84722,4.06271,0.39079,0.01182,0.000782,-0.003694,0,0.39079,0,8.101137,-3.44707,4.654067,0.39079,0.016202,-0.006894,0.000782,0,8.491927,-3.44707,0.016984,-0.006894,5.044857,8.491927,-3.44707,0.016984,-0.006894,11.938997,1,1,1,1,1,negative
22,9,13,1,2,1,25,10,15,1,38,516,27,11,0,16,27,11,16,5.80281,-3.695115,2.107695,0.65394,0.011246,0.001442,-0.007161,-0.000175,0.74406,-0.09012,6.547308,-4.03275,2.514558,0.65394,0.012689,-0.007815,0.001442,-0.000175,7.291368,-4.12287,0.014131,-0.00799,3.168498,7.291368,-4.12287,0.014131,-0.00799,11.414238,0,1,0,0,0,negative
53,21,32,-2,1,3,58,27,31,-2,89,870,59,30,0.004598,29,59,30,29,12.178952,-6.56949,5.609462,-0.61951,0.013999,0.000178,-0.007551,-0.00089,0.15506,-0.77457,13.990237,-8.177617,5.81262,-0.61951,0.016081,-0.0094,0.000178,-0.00089,14.145297,-8.952187,0.016259,-0.01029,5.19311,14.145297,-8.952187,0.016259,-0.01029,23.097483,0,0,0,0,0,positive
20,10,10,0,3,3,22,19,3,0,47,725,25,22,0.006897,3,25,22,3,6.996178,-6.347805,0.648373,-0.02416,0.00965,0.000761,-0.008756,-0.000794,0.55157,-0.57573,7.544933,-10.281278,-2.736345,-0.02416,0.010407,-0.014181,0.000761,-0.000794,8.096503,-10.857008,0.011168,-0.014975,-2.760505,8.096503,-10.857008,0.011168,-0.014975,18.95351,0,0,0,0,0,negative
17,15,2,0,3,2,19,21,-2,1,45,689,22,23,0.002903,-1,22,23,-1,5.31596,-7.475925,-2.159965,0.41895,0.007715,0.000687,-0.01085,-0.000079,0.74863,-0.05436,6.12606,-10.43126,-4.3052,0.69427,0.008891,-0.01514,0.001087,-0.000079,6.87469,-10.48562,0.009978,-0.015219,-3.61093,6.87469,-10.48562,0.009978,-0.015219,17.36031,0,1,0,0,0,negative
39,28,11,7,9,0,48,33,15,9,90,804,57,33,0.003731,24,57,33,24,8.696518,-6.156736,2.539782,0.787178,0.010817,0.000979,-0.007658,0,1.290299,0,11.627998,-8.029301,3.598698,1.290299,0.014463,-0.009987,0.001605,0,12.918297,-8.029301,0.016068,-0.009987,4.888997,12.918297,-8.029301,0.016068,-0.009987,20.947598,0,1,0,0,0,positive
24,7,17,5,5,0,28,12,16,5,45,553,33,12,0.001808,21,33,12,21,7.488817,-4.25106,3.237757,0.47331,0.013542,0.000856,-0.007687,0,0.47331,0,9.426547,-6.309012,3.117535,0.47331,0.017046,-0.011409,0.000856,0,9.899857,-6.309012,0.017902,-0.011409,3.590845,9.899857,-6.309012,0.017902,-0.011409,16.208868,0,1,1,1,1,negative
25,13,12,2,3,0,28,14,14,3,46,482,31,14,0,17,32,14,18,6.99295,-6.006743,0.986208,0.055013,0.014508,0.000114,-0.012462,0,0.136208,0,8.28568,-6.128655,2.157025,0.136208,0.01719,-0.012715,0.000283,0,8.421888,-6.128655,0.017473,-0.012715,2.293233,8.503083,-6.128655,0.017641,-0.012715,14.631738,0,1,0,0,0,negative
36,17,19,10,12,2,42,23,19,10,79,1142,54,25,0,29,54,25,29,8.487023,-7.70976,0.777263,0.362414,0.007432,0.00076,-0.006751,-0.000442,0.867659,-0.505245,10.917544,-11.459923,-0.542378,0.362414,0.00956,-0.010035,0.00076,-0.000442,11.785203,-11.965168,0.01032,-0.010477,-0.179965,11.785203,-11.965168,0.01032,-0.010477,23.750371,0,0,0,0,0,negative
55,16,39,0,5,5,58,20,38,0,88,825,63,25,0,38,63,25,38,17.6616,-6.99285,10.66875,-0.450617,0.021408,0.00084,-0.008476,-0.001386,0.692863,-1.14348,19.20674,-8.93649,10.27025,-0.450617,0.023281,-0.010832,0.00084,-0.001386,19.899603,-10.07997,0.024121,-0.012218,9.819633,19.899603,-10.07997,0.024121,-0.012218,29.979573,0,0,0,0,0,positive
30,10,20,-1,2,3,31,17,14,-1,53,485,33,20,0.002062,13,33,20,13,7.774345,-5.573685,2.20066,-0.109405,0.01603,0.000742,-0.011492,-0.000968,0.36008,-0.469485,8.042405,-7.333261,0.709144,-0.109405,0.016582,-0.01512,0.000742,-0.000968,8.402485,-7.802746,0.017325,-0.016088,0.599739,8.402485,-7.802746,0.017325,-0.016088,16.205231,0,0,0,0,0,negative
43,24,19,6,13,5,49,31,18,8,98,1165,62,36,0.006867,26,62,36,26,10.64407,-9.21085,1.43322,0.327037,0.009137,0.000883,-0.007906,-0.000603,1.240461,-0.702186,12.50985,-13.1523,-0.64245,0.538275,0.010738,-0.01129,0.001065,-0.000603,13.750311,-13.854486,0.011803,-0.011892,-0.104175,13.750311,-13.854486,0.011803,-0.011892,27.604797,0,0,0,0,0,negative
21,17,4,2,3,2,27,24,3,1,56,708,30,26,0.008475,4,30,26,4,6.33582,-8.122845,-1.787025,0.350705,0.008949,0.001082,-0.011473,-0.000586,0.76583,-0.527775,9.569685,-11.04063,-1.470945,0.238055,0.013517,-0.015594,0.001082,-0.000745,10.335515,-11.568405,0.014598,-0.01634,-1.23289,10.335515,-11.568405,0.014598,-0.01634,21.90392,0,0,1,1,1,negative
50,18,32,6,8,2,56,30,26,6,96,985,64,32,0.006091,32,64,32,32,11.570629,-6.290105,5.280524,0.40253,0.011747,0.000922,-0.006386,-0.000513,0.907775,-0.505245,13.631127,-11.321943,2.309184,0.40253,0.013839,-0.011494,0.000922,-0.000513,14.538902,-11.827188,0.01476,-0.012007,2.711714,14.538902,-11.827188,0.01476,-0.012007,26.366089,0,0,0,0,0,negative
31,20,11,3,4,1,32,21,11,3,58,636,36,22,0,14,36,22,14,8.40575,-7.047975,1.357775,0.77222,0.013217,0.0013,-0.011082,-0.000085,0.82658,-0.05436,8.69015,-7.460531,1.229619,0.77222,0.013664,-0.01173,0.0013,-0.000085,9.51673,-7.514891,0.014963,-0.011816,2.001839,9.51673,-7.514891,0.014963,-0.011816,17.031621,0,1,0,0,0,negative
75,27,48,0,11,8,83,33,50,3,135,1440,94,41,0.004167,53,94,41,53,19.413378,-6.942855,12.470523,-0.226255,0.013482,0.000438,-0.004821,-0.000595,1.25044,-0.85692,20.481813,-8.506243,11.97557,0.39352,0.014223,-0.005907,0.000868,-0.000595,21.732253,-9.363163,0.015092,-0.006502,12.36909,21.732253,-9.363163,0.015092,-0.006502,31.095416,0,1,0,0,0,positive
37,16,21,0,1,2,42,21,21,-1,66,646,43,23,0.00774,20,43,23,20,6.48921,-7.61046,-1.12125,-0.542615,0.010045,0.000064,-0.011781,-0.000904,0.04126,-1.042615,8.15702,-11.148715,-2.991695,-1.001355,0.012627,-0.017258,0.000064,-0.001614,8.19828,-12.19133,0.012691,-0.018872,-3.99305,8.19828,-12.19133,0.012691,-0.018872,20.38961,0,0,0,0,0,negative
26,27,-1,5,7,1,29,33,-4,6,70,888,36,34,0.004505,2,36,34,2,8.516725,-8.727638,-0.210913,1.79922,0.009591,0.002037,-0.009828,-0.000011,2.00453,-0.009915,9.53762,-11.492015,-1.954395,1.994615,0.010741,-0.012941,0.002257,-0.000011,11.54215,-11.50193,0.012998,-0.012953,0.04022,11.54215,-11.50193,0.012998,-0.012953,23.04408,0,1,0,0,0,negative
34,25,9,2,5,4,37,30,7,1,76,754,42,34,0.001326,8,42,34,8,9.63791,-8.43576,1.20215,1.209023,0.012782,0.001723,-0.011188,-0.00012,1.299143,-0.562613,10.13734,-13.60743,-3.47009,0.73653,0.013445,-0.018047,0.001723,-0.000746,11.436483,-14.170043,0.015168,-0.018793,-2.73356,11.436483,-14.170043,0.015168,-0.018793,25.606527,0,1,0,0,0,negative
42,8,34,4,4,0,47,10,37,4,61,805,51,10,0.003727,41,51,10,41,9.577857,-2.39649,7.181367,1.02488,0.011898,0.001273,-0.002977,0,1.02488,0,10.687604,-3.195859,7.491745,1.02488,0.013277,-0.00397,0.001273,0,11.712484,-3.195859,0.01455,-0.00397,8.516625,11.712484,-3.195859,0.01455,-0.00397,14.908343,1,1,1,1,1,positive
27,22,5,-1,4,6,30,23,7,-2,63,615,34,29,0.001626,5,34,29,5,7.63389,-9.65358,-2.01969,0.60627,0.012413,0.001059,-0.015697,-0.000074,0.65157,-0.05436,8.390365,-10.31367,-1.923305,0.59721,0.013643,-0.01677,0.001059,-0.000088,9.041935,-10.36803,0.014702,-0.016859,-1.326095,9.041935,-10.36803,0.014702,-0.016859,19.409965,0,1,0,0,0,negative
23,19,4,-1,3,4,30,24,6,-1,62,603,33,28,0.011609,5,33,29,4,7.344135,-7.702983,-0.358848,0.018772,0.012179,0.000694,-0.012774,-0.000663,0.540377,-0.737135,9.553332,-9.028826,0.524506,-0.196758,0.015843,-0.014973,0.000896,-0.001222,10.093708,-9.765961,0.016739,-0.016196,0.327747,10.093708,-10.234329,0.016739,-0.016972,20.328037,0,1,0,0,0,negative
50,22,28,-1,1,2,52,24,28,-1,79,684,53,26,0.001462,27,53,26,27,10.32228,-10.04139,0.28089,0.26315,0.015091,0.000516,-0.01468,-0.000132,0.35327,-0.09012,10.57075,-10.53632,0.03443,0.26315,0.015454,-0.015404,0.000516,-0.000132,10.92402,-10.62644,0.015971,-0.015536,0.29758,10.92402,-10.62644,0.015971,-0.015536,21.55046,0,1,0,0,0,negative
46,24,22,9,16,6,50,26,24,10,98,1152,66,32,0,34,66,32,34,11.53097,-7.814565,3.716405,0.568835,0.01001,0.001392,-0.006783,-0.000898,1.66435,-1.034475,12.717103,-8.40717,4.309933,0.629875,0.011039,-0.007298,0.001445,-0.000898,14.381453,-9.441645,0.012484,-0.008196,4.939808,14.381453,-9.441645,0.012484,-0.008196,23.823098,0,1,0,0,0,negative
19,10,9,-2,5,7,21,11,10,-2,44,539,26,18,0.001855,8,26,18,8,6.222325,-4.7058,1.516525,0.357095,0.011544,0.001534,-0.008731,-0.000871,0.82658,-0.469485,6.97931,-4.81092,2.16839,0.357095,0.012949,-0.008926,0.001534,-0.000871,7.80589,-5.280405,0.014482,-0.009797,2.525485,7.80589,-5.280405,0.014482,-0.009797,13.086295,0,1,0,0,0,negative
48,19,29,10,17,6,56,27,29,11,106,1395,73,33,0.005018,40,73,33,40,12.823599,-5.565,7.258599,0.268913,0.009193,0.000749,-0.003989,-0.000557,1.278372,-1.205761,15.557825,-10.046485,5.51134,0.072611,0.011153,-0.007202,0.000916,-0.000864,16.836197,-11.252246,0.012069,-0.008066,5.583951,16.836197,-11.252246,0.012069,-0.008066,28.088443,0,0,0,0,0,positive
